社員コード,氏名,事業所,部署,生年月日,入職日,管理職
N2-018,小島 徹,訪問看護ステーション2,訪問リハビリ,1998-08-22,2022-04-01,いいえ
N2-019,永井 秀樹,訪問看護ステーション2,訪問リハビリ,2001-01-11,2024-04-01,いいえ
N2-020,荒木 真一,訪問看護ステーション2,訪問リハビリ,2003-05-25,2025-04-01,いいえ
N2-021,星野 圭,訪問看護ステーション2,訪問リハビリ,1990-06-18,2014-04-01,いいえ
N2-022,福井 祐介,訪問看護ステーション2,訪問リハビリ,1999-02-04,2023-04-01,いいえ
N2-023,広瀬 和子,訪問看護ステーション2,事務,1974-12-23,2001-04-01,はい
N2-024,川口 典子,訪問看護ステーション2,事務,1982-05-09,2007-04-01,いいえ
N2-025,飯田 美香,訪問看護ステーション2,事務,1987-09-16,2011-04-01,いいえ
N2-026,古川 由美,訪問看護ステーション2,事務,1991-03-04,2015-04-01,いいえ
N2-027,大石 里美,訪問看護ステーション2,事務,1994-07-21,2018-04-01,いいえ
N2-028,武田 春香,訪問看護ステーション2,事務,1997-12-10,2021-04-01,いいえ
N2-029,野村 瞳,訪問看護ステーション2,事務,2001-06-06,2025-04-01,いいえ
HQ-001,田中 豊,医療法人本部,人事,1968-03-10,1996-04-01,はい
HQ-002,佐藤 進,医療法人本部,人事,1980-08-24,2005-04-01,いいえ
HQ-003,鈴木 美穂,医療法人本部,人事,1985-01-05,2009-04-01,いいえ
HQ-004,高橋 実,医療法人本部,人事,1988-06-18,2012-04-01,いいえ
HQ-005,渡辺 章,医療法人本部,人事,1992-11-30,2016-04-01,いいえ
HQ-006,伊藤 博,医療法人本部,人事,1996-04-14,2020-04-01,いいえ
HQ-007,中村 勇,医療法人本部,人事,2000-09-01,2024-04-01,いいえ
HQ-008,小林 洋,医療法人本部,経理,1969-07-28,1997-04-01,はい
HQ-009,加藤 幸一,医療法人本部,経理,1981-12-13,2006-04-01,いいえ
HQ-010,吉田 英二,医療法人本部,経理,1986-05-02,2010-04-01,いいえ
HQ-011,松本 明,医療法人本部,経理,1990-10-16,2014-04-01,いいえ
HQ-012,井上 剛,医療法人本部,経理,1993-03-25,2017-04-01,いいえ
HQ-013,木村 正三,医療法人本部,経理,1997-08-09,2021-04-01,いいえ
HQ-014,林 和夫,医療法人本部,広報,1970-02-15,1998-04-01,はい
HQ-015,斎藤 雅也,医療法人本部,広報,1982-07-07,2007-04-01,いいえ
HQ-016,清水 彩,医療法人本部,広報,1987-11-22,2011-04-01,いいえ
HQ-017,山崎 友美,医療法人本部,広報,1991-04-08,2015-04-01,いいえ
HQ-018,森 達也,医療法人本部,広報,1994-09-19,2018-04-01,いいえ
HQ-019,池田 舞,医療法人本部,広報,1998-02-28,2022-04-01,いいえ
HQ-020,橋本 千夏,医療法人本部,広報,2001-07-14,2025-04-01,いいえ
